Название товара;Сорт;Кол-во;Базовая цена;Цена за ед.;;;
Бордюр дорожный  серый;1 сорт;226.00;660;660;;;
Бордюр дорожный 2 сорт  серый;2 сорт;1246.00;660;330;;;
Бордюр дорожный гранитный  серый 2 сорт;2 сорт;6.00;860;430;;;
"Бордюр дорожный меланж ""осень""";1 сорт;6.00;700;700;;;
"Бордюр дорожный меланж ""осень"" гранитный";1 сорт;18.00;860;860;;;
"Бордюр дорожный меланж ""осень"" гранитный 2 сорт";2 сорт;11.00;860;430;;;
"Плита тротуарная гладкая 1.СМ.8 ""Сити-микс"" 8 серая";1 сорт;672.00;1450;1450;;;
"Плита тротуарная гладкая 1.СМ.8 ""Сити-микс"" 8 серая 2 сорт";2 сорт;16.98;1450;725;;;
"Плита тротуарная гладкая 1.ПР.8 ""Паркет"" коричневая";1 сорт;14.33;1600;1600;;;
"Плита тротуарная гладкая 1.ПР.8 ""Паркет"" коричневая 2 сорт";2 сорт;5,76;1600;800;;;
Плита тротуарная гладкая 3.П.8 серая;1 сорт;183.60;1450;1450;;;
Плита тротуарная гладкая 3.П.8  серая 2 сорт;2 сорт;126.06;1450;725;;;
"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" осень";1 сорт;2,25;2250;2250;;;
"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" осень 2сорт";2 сорт;4,80;2250;1125;;;
"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" серая";1 сорт;50.62;2050;2050;;;
"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" серая 2 сорт";2 сорт;84.77;2050;1025;;;
"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" меланж оникс";1 сорт;16,13;2250;2250;;;
"Плита тротуарная гранитная 1.СМ.8 ""Сити-микс"" меланж оникс 2 сорт";2 сорт;3,84;2250;1125;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  белая";1 сорт;40.44;2450;2450;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  белая 2 сорт";2 сорт;2,40;2450;1225;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  коричневая";1 сорт;5,52;2400;2400;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  коричневая 2сорт";2 сорт;5,30;2400;1200;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  меланж оникс 2сорт";2 сорт;171.60;2250;1125;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  меланж оникс";1 сорт;51.97;2250;2250;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  меланж рубин";1 сорт;18.77;2250;2250;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет"" меланж  рубин 2 сорт";2 сорт;12,20;2250;1125;;;
"Плита тротуарная гранитная 1.ПР.8 ""Паркет""  серая 2сорт";2 сорт;536.02;2050;1025;;;
Плита тротуарная гранитная 3.П.8  белая;1 сорт;0.18;2450;2450;;;
Плита тротуарная гранитная 3.П.8  красная;1 сорт;15,12;2400;2400;;;
Плита тротуарная гранитная 3.П.8  серая;1 сорт;7,20;2050;2050;;;
Плита тротуарная гранитная 3.П.8  серая 2 сорт;2 сорт;58.68;2050;1025;;;
Плита тротуарная гранитная 3.П.8  черная;1 сорт;18.18;2400;2400;;;
Плита тротуарная гранитная 3.П.8  черная 2 сорт;2 сорт;20.64;2400;1200;;;
Плитка тротуарная гранитная 2.К.4 белая 2сорт;2 сорт;92.72;1350;675;;;
"Плитка тротуарная гладкая 2.У.6 ""Урико"" белая";1 сорт;2,25;1140;1140;;;
"Плитка тротуарная гладкая 2.У.6 ""Урико"" меланж осень";1 сорт;0.73;1550;1550;;;
Плитка тротуарная гладкая 2.КО.4 коричневая;1 сорт;8,35;1010;1010;;;
Плитка тротуарная гладкая 2.КО.4 меланж осень;1 сорт;27.83;1310;1310;;;
Плитка тротуарная гладкая 2.КО.4 серая 2 сорт;2 сорт;22,08;870;435;;;
Плитка тротуарная гладкая 2.КО.4 черная;1 сорт;2,92;1010;1010;;;
Плитка тротуарная гладкая 2.КО.6 белая;1 сорт;22.20;1140;1140;;;
Плитка тротуарная гладкая 2.КО.6 белая 2 сорт;2 сорт;2,70;1140;570;;;
Плитка тротуарная гладкая 2.КО.6 желтая;1 сорт;60.90;1150;1150;;;
Плитка тротуарная гладкая 2.КО.6 красная;1 сорт;99.15;1140;1140;;;
Плитка тротуарная гладкая 2.КО.6 оранжевая;1 сорт;4,90;1150;1150;;;
Плитка тротуарная гладкая 2.КО.6 серая;1 сорт;61.70;1040;1040;;;
Плитка тротуарная гладкая 2.КО.6 серая 2 сорт;2 сорт;4,20;1040;520;;;
Плитка тротуарная гладкая 2.К.4 меланж осень;1 сорт;6,20;1300;1300;;;
Плитка тротуарная гладкая 2.К.4 серая;1 сорт;1.00;820;820;;;
Плитка тротуарная гладкая 2.К.4 черная;1 сорт;1,80;950;950;;;
Плитка тротуарная гладкая 2.К.6 белая 2 сорт;2 сорт;9,60;1100;550;;;
Плитка тротуарная гладкая 2.К.6 желтая 2 сорт;2 сорт;2.00;1110;555;;;
Плитка тротуарная гладкая 2.К.6 коричневая;1 сорт;11,68;1100;1100;;;
Плитка тротуарная гладкая 2.К.6 коричневая 2 сорт;2 сорт;1,92;1100;550;;;
Плитка тротуарная гладкая 2.К.6 красная;1 сорт;19,12;1100;1100;;;
Плитка тротуарная гладкая 2.К.6 меланж осень;1 сорт;7,80;1550;1550;;;
Плитка тротуарная гладкая 2.К.6 серая;1 сорт;726.76;1000;1000;;;
Плитка тротуарная гладкая 2.П.4 белая;1 сорт;11,37;950;950;;;
Плитка тротуарная гладкая 2.П.4 белая 2 сорт;2 сорт;3,36;950;475;;;
Плитка тротуарная гладкая 2.П.4 желтая;1 сорт;10,40;960;960;;;
Плитка тротуарная гладкая 2.П.4 желтая 2 сорт;2 сорт;1,70;960;480;;;
Плитка тротуарная гладкая 2.П.4 красная;1 сорт;84.49;950;950;;;
Плитка тротуарная гладкая 2.П.4 меланж оникс;1 сорт;8,64;1300;1300;;;
Плитка тротуарная гладкая 2.П.4 меланж оникс 2 сорт;2 сорт;5,28;1300;650;;;
Плитка тротуарная гладкая 2.П.4 меланж рубин;1 сорт;0.80;1300;1300;;;
Плитка тротуарная гладкая 2.П.4 меланж яшма;1 сорт;41.60;1300;1300;;;
Плитка тротуарная гладкая 2.П.4 оранжевая;1 сорт;1,20;960;960;;;
Плитка тротуарная гладкая 2.П.4 серая 2 сорт;2 сорт;17.88;820;410;;;
Плитка тротуарная гладкая 2.П.4 черная 2 сорт;2 сорт;38.40;950;475;;;
Плитка тротуарная гладкая 2.П.6 белая;1 сорт;31.04;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 белая 2 сорт;2 сорт;15.84;1100;550;;;
Плитка тротуарная гладкая 2.П.6 желтая;1 сорт;27.58;1110;1110;;;
Плитка тротуарная гладкая 2.П.6 коричневая;1 сорт;18.44;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 красная;1 сорт;7,46;1100;1100;;;
Плитка тротуарная гладкая 2.П.6 меланж оникс;1 сорт;39.00;1550;1550;;;
