id_2sort;category;name_2sort;weight;qty;mold_id;gost;article;base_id;base_weight;base_qty;base_mold;base_gost
539;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Меланж Гладкий Осень 2 сорт;0.000000;1.0000;;;;461;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023
611;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гладкий Белый 2 сорт;36.110000;9.0000;20;;PL-4332S;433;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
612;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Коричневый 2 сорт;36.110000;9.0000;20;;PL-4432S;443;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
613;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гранит Оникс 2 сорт;36.110000;9.0000;20;;PL-4482S;448;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
614;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гранит Яшма 2 сорт;36.110000;9.0000;20;;PL-4512S;451;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
615;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гранит Осень 2 сорт;36.110000;9.0000;20;;PL-4492S;449;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
616;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гладкий Желтый 2 сорт;36.110000;9.0000;20;;PL-4342S;434;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
617;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гладкий Коричневый 2 сорт;36.110000;9.0000;20;;PL-4312S;431;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
618;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гладкий Красный 2 сорт;36.110000;9.0000;20;;PL-4302S;430;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
619;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гладкий Оранжевый 2 сорт;36.110000;9.0000;20;;PL-4352S;435;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
620;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гладкий Осень 2 сорт;36.110000;9.0000;17;;PL-4372S;437;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023
634;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гранит Серый 2 сорт;100.000000;1.0000;;;;465;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023
540;Плитка гладкая;Тротуарная плитка СИТИ-МИКС - 1.СМ.8 80мм Гладкая Серая 2 сорт;0.000000;0.7500;14;;1SM8-GS2S;357;151.110000;0.7500;14;ТУ 23.61.11-001-50829991-2023
