base_id;category;base_name;unit;price;dealer_price;weight_kg;qty_per_cycle;mold_id;gost_mark;article;mix_main_tpl;mix_face_tpl;item_type;amortization_per_cycle;new_name;new_price;new_dealer_price;new_article;default_warehouse_id
457;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гладкий Белый;шт;850.00;748.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-457;main_bor_dor;face_smooth_white;product;0.00;Бордюр дорожный 1000х300х150 Гладкий Белый 2 сорт;425.0;374.0;PL-4572S;5
458;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гладкий Желтый;шт;850.00;748.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-458;main_bor_dor;face_smooth_yellow;product;0.00;Бордюр дорожный 1000х300х150 Гладкий Желтый 2 сорт;425.0;374.0;PL-4582S;5
455;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гладкий Коричневый;шт;850.00;748.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-455;main_bor_dor;face_smooth_brown;product;0.00;Бордюр дорожный 1000х300х150 Гладкий Коричневый 2 сорт;425.0;374.0;PL-4552S;5
454;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гладкий Красный;шт;850.00;748.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-454;main_bor_dor;face_smooth_red;product;0.00;Бордюр дорожный 1000х300х150 Гладкий Красный 2 сорт;425.0;374.0;PL-4542S;5
459;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гладкий Оранжевый;шт;850.00;748.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-459;main_bor_dor;face_smooth_orange;product;0.00;Бордюр дорожный 1000х300х150 Гладкий Оранжевый 2 сорт;425.0;374.0;PL-4592S;5
456;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гладкий Черный;шт;850.00;748.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-456;main_bor_dor;face_smooth_black;product;0.00;Бордюр дорожный 1000х300х150 Гладкий Черный 2 сорт;425.0;374.0;PL-4562S;5
469;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гранит Белый;шт;960.00;845.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-469;main_bor_dor;face_granite_white;product;0.00;Бордюр дорожный 1000х300х150 Гранит Белый 2 сорт;480.0;422.5;PL-4692S;5
470;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гранит Желтый;шт;960.00;0.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-470;main_bor_dor;face_granite_yellow;product;0.00;Бордюр дорожный 1000х300х150 Гранит Желтый 2 сорт;480.0;0.0;PL-4702S;5
467;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гранит Коричневый;шт;960.00;0.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-467;main_bor_dor;face_granite_brown;product;0.00;Бордюр дорожный 1000х300х150 Гранит Коричневый 2 сорт;480.0;0.0;PL-4672S;5
466;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гранит Красный;шт;960.00;900.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-466;main_bor_dor;face_granite_red;product;0.00;Бордюр дорожный 1000х300х150 Гранит Красный 2 сорт;480.0;450.0;PL-4662S;5
471;Бордюры и поребрики;Бордюр дорожный 1000х300х150 Гранит Оранжевый;шт;960.00;0.00;100.000000;3.0000;21;ТУ 23.61.11-002-50829991-2023;PL-471;main_bor_dor;face_granite_orange;product;0.00;Бордюр дорожный 1000х300х150 Гранит Оранжевый 2 сорт;480.0;0.0;PL-4712S;5
